"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"judiciar";-1,54;19,528;-1,315;-7,298;1,196
"interesse_publico";-0,391;60,723;-0,69;-1,963;-11,889
"inexistente";-5,582;-7,26;62,67;-8,724;-1,394
"imunizantes";-7,58;-1,843;-12,784;149,007;-16,961
"igualdade";-3,465;70,238;-4,579;-2,976;-1,852
"goiania";-5,047;-4,729;-7,716;-0,697;47,543
"fumus_boni_iuris";4,402;0,265;-4,307;-8,01;6,191
"deficiencia";-3,313;-1,607;-14,671;131,703;-16,205
"conduzir";1,326;-1,724;-2,09;-6,199;13,86
"categoria";1,703;0,017;0,691;-0,194;-2,403
"audiencia";49,445;-0,593;-9,456;-0,002;-3,599
"atinente";-5,417;8,997;5,097;-8,486;-0,009
"transformar";-0,209;-0,102;29,68;-10,107;-3,599
"significado";-7,58;-1,843;54,826;-6,427;-3,141
"rejeitar";-6,904;-4,355;4,043;-5,518;14,385
"regimental";5,183;-6,468;-11,427;-7,535;34,8
"reforcar";-4,76;-0,515;-3,774;22,83;-0,005
"proibir";0,318;1,403;-13,644;37,422;-10,057
"modificar";1,326;3,138;-10,117;-6,199;9,272
"mesa";-6,735;-2,521;-13,644;-9,624;92,609
"menor";-0,04;-3,216;-8,348;64,784;-7,716
"jornalistico";-4,432;144,62;-10,75;-3,405;-7,581
"incompatibilidade";0;8,051;-5,592;-7,773;6,824
"imposicao";8,814;3,431;-5,887;0,069;-2,643
"guarda";-0,713;0,038;0,87;-5,518;2,844
"global";0,127;-6,785;35,968;-0,015;-16,205
"garantido";-2,048;4,893;-15,013;49,938;-9,336
"especifico";-2,179;18,548;-3,459;-0,071;-0,009
"embargo";-3,62;-0,66;-4,933;-3,961;36,685
"consulta";10,913;-1,724;-3,214;0,035;0
"comprovante";0,318;-0,441;-13,644;59,61;-10,057
"comportamento";-3,313;20,49;1,174;-1,648;-3,875
"associar";-0,902;0,265;-1,886;20,397;-5,343
"alternativo";-0,902;5,281;-4,307;20,397;-8,982
"verbis";0,627;-0,676;-1,886;-1,648;6,191
"sus";-0,902;0,005;-12,105;83,837;-16,205
"sujeito";2,683;-1,053;2,644;-3,203;-0,252
"residuo";145,223;-5,836;-10,074;-3,004;-8,966
"proximo";9,407;-0,102;-14,329;9,489;-1,448
"pertinencia";-7,411;-0,186;23,04;-4,441;-0,118
"pautar";0;8,051;-9,456;0,537;0,034
"mouro";0,129;-0,787;-1,701;-1,2;6,996
"inviavel";-1,79;-4,508;3,597;-4,022;6,824
"independencia";-3,313;135,907;-12,105;-8,01;-2,643
"inadequado";-0,805;-2,797;22,446;-5,744;-0,26
"hospital";-6,397;-2,25;-12,96;138,792;-14,315
"habilitar";193,006;-6,152;-13,302;-7,061;-9,693
"fator";0,102;5,703;-7,816;16,82;-8,966
"faltar";-7,242;-6,785;15,143;8,819;-5,343
"exposicao";0,386;-0,001;-1,15;11,115;-5,641
"exportacao";0,367;0,443;-1,361;2,409;-1,503
"estatuto";1,506;3,431;-9,786;-1,648;3,249
"entrada";29,132;-2,658;-11,427;12,889;-8,279
"camara_dos_deputados";17,432;-0,041;-11,089;-3,609;3,256
"avaliar";2,152;1,403;-5,01;10,965;-7,929
"atacado";-3,313;-0,676;3,188;-10,348;10,073
"abusivo";-5,088;-0,142;54,779;-8,01;-7,045
"abster";0,102;38,828;-10,074;0,123;-5,087
"xii";11,588;45,631;-14,671;-2,79;-7,045
"the";-2,353;10,221;-4,766;12,829;-5,265
"tecnologia";0,406;-0,02;-13,302;62,368;-14,693
"secundario";-1,79;-1,492;25,937;-10,107;-0,026
"ressalva";-1,3;-5,994;-4,439;-0,936;32,449
"politico";-1,79;75,689;-11,766;-0,692;-2,403
"partido_comunista_do_brasil";-2,689;-2,52;-5,448;-0,481;29,238
"messias";0,249;7,797;-5,448;6,113;-6,018
"grifou";-2,66;-2,399;4,526;0,078;0,023
"fonte";-0,247;56,675;-2,28;-4,18;-4,457
"falar";-0,312;0,291;0,511;0,191;-1,124
"expedir";82,156;-4,662;-5,887;-0,26;-7,045
"etapa";23,321;-4,508;-1,689;7,232;-10,788
"efetuar";64,059;-3,594;-0,19;-2,806;-8,604
"confianca";22,488;1,874;-8,388;-0,007;-3,543
"condicionante";-4,924;-6,627;-2,738;80,08;-6,712
"bom";0,002;1,228;-5,3;2,593;-0,005
"bernardo";0,078;26,37;-8,052;-7,454;1,046
"atrair";-7,242;-0,142;-4,307;-10,348;53,11
"are";-4,205;-0,667;-6,045;1,201;13,485
"tematica";-6,735;23,825;-0,003;-9,624;1,196
"subsistir";-1,664;-4,355;-9,127;-2,425;48,335
"sol";0,026;1,992;-2,042;-0,028;0,11
"sigilo";-2,425;155,656;-12,618;-4,622;-8,966
"rio_grande_do_sul";-0,713;-1,818;-2,106;-0,111;11,659
"reforma";3,352;-4,355;-9,127;-9,866;34,8
"precisar";-0,805;0,339;-0,347;3,636;-0,734
"plausibilidade";0,102;0,218;-7,816;-0,809;8,512
"patrimonio";108,909;0,757;-10,412;-9,142;-9,329
"original";0,754;0,003;-1,447;-2,806;3,749
"oms";-6,904;-0,068;-13,987;123,504;-15,449
"obtencao";0,318;2,711;-2,282;1,708;-1,944
"jurar";188,021;-5,677;-12,276;-4,4;-13,56
"extradicao";-6,06;11,98;-5,538;-8,659;17,504
"etario";-6,735;-6,31;-13,644;167,232;-15,071
"escolha";2,407;12,981;-6,461;0,348;-4,135
"equipamento";12,182;1,807;-12,96;15,741;-14,315
"entrar";114,342;-4,05;-8,47;-2,072;-7,581
"coordenacao";3,047;-0,593;-5,592;38,566;-15,827
"certificado";11,303;-1,854;-11,934;37,162;-13,182
"calendario";-2,57;-5,994;-12,96;86,742;-2,547
"argumentacao";-1,79;-0,102;0,227;-2,606;5,132
"arguido";-1,664;-4,355;20,492;-9,866;0,969
"adc";-4,373;-2,106;54,739;-4,012;-7,223
"urbano";140,378;-2,521;-6,772;-7,298;-10,057
"santa_catarina";0,148;-2,677;-0,537;-0,032;3,345
"presidencia_da_republica";11,422;-2,385;-8,47;-1,068;5,224
"orcamento";94,18;0,218;-10,074;-1,733;-13,938
"obscuridade";-6,735;-6,31;-8,798;-9,624;92,609
"obito";-6,397;-3,897;-12,96;148,65;-14,315
"nucleo";0,318;39,279;-0,003;-9,624;-6,054
"mercado";118,788;-1,053;-12,96;-0,936;-11,689
"mato_grosso_do_sul";18,722;-1,854;-9,399;0,277;0,028
"familiar";0,002;49,582;-13,987;1,475;-8,279
"disseminacao";-4,432;-1,159;-10,75;106,771;-12,063
"descabimento";-6,735;-6,31;88,463;-9,624;-6,054
"condenar";-4,106;5,703;1,865;-8,901;1,145
"compativel";0,002;8,607;-9,127;0,67;-0,005
"ciencia";3,666;-1,854;-9,399;23,143;-2,998
"chamado";4,826;-0,95;-0,818;0,589;-0,604
"apreciar";-2,717;-4,05;-2,063;-5,068;38,996
"trecho";-2,425;-0,95;-1,645;-0,004;10,805
"tramitacao";-2,717;-0,37;0,001;-2,072;9,032
"tipico";-4,432;16,572;6,849;-2,072;-7,581
"tarifa";133,506;-4,887;-8,052;-1,862;-11,672
"reverter";0,013;-6,31;29,192;-1,206;-6,054
"resguardar";-2,281;1,053;14,309;-2,806;-3,274
"reproducao";-4,106;-3,745;39,481;-6,588;-0,604
"rep";7,197;-2,399;-9,543;36,31;-10,54
"remuneracao";30,572;-2,521;8,156;-9,624;-10,057
"reconducao";-6,228;-5,836;-12,618;-8,901;98,763
"procuracao";-4,106;-2,117;-4,158;-6,588;48,749
"processo_penal";-2,717;20,6;-4,723;-9,383;6,998
"pp";-0,5;-0,38;-0,603;-5,286;14,651
"poder_executivo_federal";-0,539;0,632;-3,257;21,62;-5,729
"permanecer";-1,585;6,308;-5,878;-1,862;6,955
"improbidade";-4,432;0,632;44,496;-7,061;-9,693
"homologar";47,379;-6,31;6,21;-5,293;-15,071
"go";1,249;-3,466;-5,05;-1,486;14,651
"estados_unidos";-4,71;1,468;-7,046;48,77;-7,964
"correspondente";0,318;0,522;-5,01;20,375;-7,929
"contratual";124,326;-2,385;-10,75;-1,068;-12,063
"concorrente";-5,385;92,782;-6,198;-2,045;-3,543
"atencao";0,013;12,214;-13,644;13,78;-6,054
"viabilidade";0;-4,413;11,776;-0,461;-1,262
"veto";0,016;34,297;-1,827;-7,936;-0,619
"to";-2,857;-0,048;6,828;-0,627;-0,122
"reuniao";20,638;0,218;-12,618;2,562;-3,556
"residencial";159,456;-4,571;-9,884;-6,972;-8,334
"prevenir";-1,419;25,067;0,165;0,348;-14,693
"paraiba";-3,459;-5,203;29,777;-5,645;0
"palavra";0,062;1,807;0,256;-1,901;-0,252
"obrigar";0,297;22,086;-6,841;1,108;-5,867
"luis";-1,344;-1,259;-0,001;-0,241;4,994
"informativo";-1,3;7,652;-12,96;19,173;-2,547
"improcedente";-3,782;-0,753;-1,257;-8,418;34,412
"gestor";4,415;13,796;-12,96;9,891;-14,315
"extensao";-1,184;3,64;-0,818;-0,233;0,491
"exercitar";152,298;-1,228;-10,226;-7,213;-11,295
"executar";2,321;-0,097;-6,841;29,155;-10,195
"entrega";-6,228;11,215;-5,844;13,575;-2,299
"elevado";0,032;12,981;-1,14;3,269;-12,063
"disputa";-6,228;-2,117;34,87;-3,004;-1,315
"denunciar";-5,553;18,754;-11,251;26,263;-7,523
"conversao";13,857;-5,677;-1,447;-8,659;7,212
"contato";-3,782;16,574;-11,934;27,449;-8,243
"conseguinte";-1,3;-1,053;-1,85;3,653;1,745
"cautela";-2,717;2,997;-13,302;21,62;-0,353
"assumir";-3,944;4,001;-0,003;1,644;-1,124
"vislumbrar";-1,858;-3,142;3,431;-3,743;5,488
"viciar";-0,189;-3,292;0,293;-2,42;6,699
"venda";27,323;-0,048;-5,789;0,191;-3,936
"vaga";-1,07;-0,85;-7,49;-1,569;28,169
"solicitacao";2,052;-0,14;-9,399;32,122;-8,243
"sequencia";0,773;2,43;-3,755;0,008;-0,006
"senado_federal";5,269;6,186;-2,516;-8,659;0,192
"processo_legislativo";0,499;5,769;-1,611;-5,41;0,807
"prisional";0,016;54,496;-11,251;0,074;-7,523
"pensao";96,908;-3,292;-9,061;-8,177;-0,775
"paulo";0,249;-0,735;-1,403;0,328;0,838
"parente";3,311;-0,85;-12,276;-4,4;20,778
"oportuno";-0,046;0,757;-0,377;2,25;-1,516
"lancar";-0,247;-0,753;-7,165;5,018;2,848
"impetrar";-3,138;-2,843;17,528;-5,176;0,384
"igp";99,565;-4,571;-3,469;-4,708;-6,099
"historico";12,996;-0,061;-0,303;-0,029;-3,843
"fornecer";1,583;2,037;-7,816;13,575;-6,89
"fls";0,277;-2,399;-7,046;-2,679;23,241
"firme";-5,722;-3,292;1,77;-8,177;20,387
"estipular";98,139;-3,594;-12,276;-0,689;-4,77
"enunciado";-4,879;-0,261;8,046;-6,972;2,899
"enquadrar";1,381;-0,305;-3,005;-0,309;2,841
"elaboracao";2,052;2,566;-9,399;15,633;-8,243
"colher";-1,585;-0,013;0,003;0,83;0,047
"cedula";133,487;-1,597;-8,724;-3,743;-12,427
"capitular";92,806;-0,14;-11,934;-2,612;-6,206
"aumentar";-0,007;-5,677;-12,276;94,703;-10,942
"apreco";-2,281;-0,189;41,824;-6,351;-6,547
"americano";-5,891;30,833;-9,399;23,143;-13,182
"ambiente";0,623;2,037;-12,618;20,412;-5,087
"alagoas";-0,604;-3,624;-1,851;-0,057;13,073
"afrontar";-5,891;1,227;26,027;-2,612;-6,206
"admissao";-6,228;-2,117;8,287;-3,004;3,273
"academico";-4,106;38,828;-10,074;13,575;-11,315
"acabar";0,507;-0,006;-1,85;22,944;-11,689
"vitimar";-3,298;15,613;-10,909;32,933;-12,05
"tributo";127,666;-4,729;-10,226;-4,942;-4,537
"transferencia";45,414;2,566;-9,399;-0,109;-10,568
"tarefa";-6,06;95,885;-7,49;0;-8,604
"soberania";-0,96;20,839;-11,934;-8,418;10,285
"sitiar";0,219;-0,753;-11,934;27,449;-0,944
"regularizacao";22,488;-1,472;-1,611;-3,527;0,011
"pluralismo";-5,891;30,833;-9,399;-8,418;10,285
"perfil";-1,997;-0,66;23,829;-0,063;-7,882
"pensionista";24,499;-1,725;-6,841;-8,177;4,852
"mensagem";-2,503;3,505;-9,201;45,133;-10,163
"lesivo";-0,007;-1,985;1,206;-4,4;3,749
"justo";-6,228;51,725;-4,158;0,589;-5,087
"indispensavel";-1,07;15,588;0,11;-8,659;0,004
"excecao";1,257;18,754;-0,905;-3,743;-2,463
"espaco";-6,228;22,945;0,371;1,402;-11,315
"escopo";-0,022;0;1,865;-0,809;-0,166
"empregado";65,224;-1,597;-6,519;-2,23;-2,463
"emergencial";26,518;-0,189;-12,276;14,569;-13,56
"dignidade";-3,298;136,848;-8,388;-3,527;-9,45
"configuracao";-1,07;0,291;-2,516;-2,806;11,796
"completo";-4,106;-2,117;-7,816;68,37;-3,556
"cgu";-6,06;-3,594;-12,276;120,977;-8,604
"cassar";-0,383;-5,836;1,865;-8,901;13,371
"carvalho";-1,73;9,731;-5,05;-5,286;8,236
"anterioridade";4,471;0,069;-11,251;-7,936;15,268
"afastado";-2,281;0,291;-7,49;0,739;7,212
"admissivel";-3,782;-1,854;30,146;-4,18;-0,944
"abrangencia";-1,184;-5,836;13,216;0,589;-2,299
"trabalhista";-0,651;-5,045;-2,809;-2,045;27,752
"terreno";87,152;-0,47;-5,381;-5,527;-6,118
"suprir";-6,06;0,291;-5,538;8,833;1,409
"suporte";-0,853;-3,292;2,975;0,034;0,076
"ressalvar";-0,75;3,196;0,063;0,074;-1,388
"regulamento";31,272;-0,061;-0,905;-0,029;-9,822
"referendum";-0,312;-0,189;-9,736;4,524;3,749
"reclamacao";-0,055;-2,843;-4,045;-7,454;34,409
"pdt";-2,978;-2,694;-7,716;-4,942;53,369
"oriundo";0,626;-2,843;-0,128;1,867;-0,035
"originario";-0,651;0,727;-0,208;-7,695;8,321
"obstaculo";-2,138;0,014;7,663;-1,41;-0,35
"motivar";-3,944;0,003;-5,538;2,905;5,34
"mineracao";151,08;-3,292;-11,593;-8,177;-5,867
"logistico";-1,07;1,053;-12,276;64,668;-13,56
"legitimacao";-5,891;-3,443;26,027;-4,18;0,028
"invocacao";-6,06;-5,677;106,133;-8,659;-13,56
"funcionario";1,837;2,22;-4,392;5,474;-5,021
"exploracao";43,693;1,052;-2,304;-7,213;-4,537
"dl";0;0,006;-4,766;-3,362;13,743
"dispensar";2,942;-2,992;0,128;1,583;-2,205
"destaque";3,311;0,003;-1,447;-0,166;0,004
"contagem";24,684;-3,308;-7,153;-5,046;4,371
"aplicavel";-1,858;-0,57;-0,905;-2,23;15,268
"ampliacao";5,746;-5,519;-2,28;5,018;-0,35
"utilidade";-1,72;-0,485;-4,338;-0,285;16,616
"telecomunicacao";59,812;-3,15;-2,501;-4,805;-1,528
"secao";0,773;2,43;-1,205;-4,942;1,327
"requisitar";-0,247;16,574;-7,165;-0,576;0,3
"remeter";0,499;5,769;-2,809;-0,285;-0,086
"procurador";4,122;-1,109;-9,884;-6,972;21,375
"primario";-3,459;-3,142;68,234;-7,936;-7,523
"pni";-5,722;-0,66;-11,593;94,993;-7,882
"perceber";2,052;1,227;-7,165;1,913;-0,35
"pendente";-5,553;-3,142;1,105;-2,23;12,364
"pauta";1,069;-3,292;-4,933;0,382;4,852
"locacao";63,469;-1,349;-1,404;-7,454;-3,248
"jurisdicionar";0;0,014;12,574;-6,116;-1,826
"ipca";55,565;-4,887;-2,554;0,208;-9,077
"inumero";-0,75;-0,061;0,063;1,331;-0,157
"interpretativo";-5,891;1,227;12,574;-8,418;0,028
"inepcia";-3,62;0,036;-2,05;-8,177;27,942
"imunidade";-0,725;8,918;-5,107;7,182;-3,223
"ideia";-3,782;81,179;-1,257;-4,18;-6,206
"gabinete";50,852;-1,228;-5,559;-3,099;-0,809
"financiamento";22,488;1,874;-10,909;1,583;-7,165
"extinguir";0,016;-1,597;-8,724;-5,645;34,379
"expresso";-1,858;-0,061;1,105;0,508;-0,157
"estado_de_coisas_inconstitucional";-0,853;17,628;-0,413;0,034;-4,148
"esportivo";-5,553;-5,203;-11,251;127,728;-9,822
"escolar";-5,553;-0,57;-6,519;90,951;-12,427
"erario";-1,997;-1,725;46,983;-8,177;-4,148
"enviar";-1,283;-2,993;-4,065;43,31;-2,699
"deputado";-1,858;0,069;-6,519;-5,645;29,944
"debate";-0,247;1,227;-0,536;-4,18;4,274
"clareza";-5,891;-1,854;15,483;0,277;-1,826
"circulacao";35,148;-1,725;-11,593;13,401;-12,805
"celebrar";70,155;-3,292;-0,413;-2,42;-10,195
"celebracao";122,045;-2,252;-6,711;-6,49;-7,593
"beneficiario";28,002;1,227;-11,934;1,913;-8,243
"araujo";0,026;6,776;-2,042;-1,44;0,11
"alegre";8,657;-3,466;-7,494;-3,094;11,214
"vinculacao";0,128;13,633;-0,459;-4,942;-0,239
"transparencia";1,257;28,599;-6,519;-0,029;-5,53
"somar";-0,467;-0,33;-7,716;26,834;-0,809
"rn";-4,373;-4,097;0,4;-1,018;12,116
"procurador_geral";1,159;-0,861;-0,537;-1,978;3,345
"menezes";-3,699;0,395;-5,05;-5,286;27,713
"medida_provisoria";1,885;-3,939;-2,367;0,007;3,516
"magistrado";-2,978;-0,33;-3,755;-3,099;27,607
"infeccao";-5,216;-4,887;-10,567;129,519;-11,672
"incorporacao";-0,055;0,879;-8,052;40,622;-11,672
"impedimento";0,128;-1,228;-2,304;-4,942;16,188
"habil";-1,858;0,069;18,108;-3,743;-2,463
"futuro";2,321;17,628;-2,05;-0,471;-5,867
"fungibilidade";-5,385;-5,045;58,951;-5,41;-3,543
"fundamentacao";-0,75;-1,597;-0,905;-2,23;15,268
"fundacao";20,486;-1,228;-3,755;-0,697;-0,006
"explicar";1,7;0,17;4,498;-0,206;-9,077
"encerrar";-5,553;-5,203;7,04;-0,373;2,434
"detrimento";-4,373;29,405;-2,635;-0,262;-0,235
"continuidade";5,964;0,242;-0,459;2,186;-8,706
"civel";-4,542;5,926;-6,711;-6,49;21,113
"cercar";0,297;-5,361;-11,593;64,123;-5,867
"automatico";12,12;-3,292;-11,593;-8,177;20,387
"acolhimento";-1,585;0,879;-0,128;-1,862;3,349
"vacinal";-5,385;-5,045;-8,388;123,546;-12,05
"terminar";3,299;-0,405;-10,567;0,208;3,349
"servicos_publicos";31,004;9,979;-7,716;-3,099;-6,453
"respeitado";-0,136;28,599;-8,724;2,544;-5,53
"proporcional";0,499;-1,472;-2,809;-5,41;16,616
"processar";-0,651;-2,992;-0,002;-7,695;20,012
"prerrogativa";-4,71;8,223;-7,046;-6,731;19,327
"marcelo";-1,68;-1,574;-1,25;-0,56;13,997
"junior";-0,402;0,009;-4,721;-5,046;20,626
"inferior";2,617;-1,597;-0,303;6,138;-3,843
"incerteza";-1,72;-2,992;1,371;27,991;-12,05
"imunizante";-5,553;-3,142;-8,724;117,949;-12,427
"impessoalidade";-2,978;22,648;1,005;-7,213;-0,809
"iminente";-0,092;65,335;-8,388;-0,007;-9,45
"ilegalidade";-4,542;-0,142;5,193;-2,472;1,29
"fixo";0,041;0,727;10,268;-0,964;-9,45
"finalizar";0,451;2,989;-3,063;-0,392;0,165
"expectativa";-1,858;0,069;11,933;-2,23;-1,388
"educacional";-1,32;0,001;-9,884;66,962;-10,918
"corpo";11,472;29,204;-7,836;-1,675;-8,655
"consumo";10,381;-4,413;-9,543;36,31;-10,54
"confronto";-5,553;-0,57;68,234;-5,645;-12,427
"basear";0,39;-3,142;-4,634;36,086;-5,53
"autarquia";73,495;0,069;-8,724;-5,645;-3,843
"aula";-2,503;-2,252;-9,201;93,009;-10,163
"arquivar";-5,216;-2,843;-10,567;-7,454;75,533
"aliar";-1,72;-0,485;-6,198;32,933;-1,183
"adverso";-5,216;-1,349;-10,567;109,626;-11,672
"aditivo";139,711;-2,694;-10,226;-7,213;-6,453
"acreditar";0,801;-2,047;-0,036;-0,131;0,816
"usuario";0,499;8,517;-10,909;19,312;-12,05
"soja";-2,978;-4,729;-10,226;87,317;-4,537
"sobrevir";0,942;-4,571;-9,884;-4,708;34,515
"sindical";-0,234;-0,142;-0,142;-6,49;10,875
"semeadura";-0,026;-2,694;-10,226;63,303;-6,453
"secretariar";13,863;-0,296;-2,792;-0,001;-0,723
"salario";37,747;-1,818;-0,262;-5,768;-1,371
"quantidade";1,7;-4,887;-10,567;67,147;-11,672
"procuradoria";9,548;4,847;-2,06;-6,972;-0,147
"probatorio";-1,451;0,242;2,023;-7,213;2,44
"prescrito";-1,585;-4,887;44,433;-0,206;-11,672
"pontuar";4,595;-0,198;0,151;-0,461;-1,262
"operar";2,251;-1,109;-2,06;-0,575;2,899
"moreira";-1,176;-1,102;-0,455;-1,68;12,036
"monitoramento";0,004;8,979;-6,711;14,38;-10,163
"lewandowski";-1,176;19,949;-2,382;-1,68;0,006
"jovem";-5,047;-1,228;-10,226;105,468;-11,295
"intimacao";-0,008;-1,109;-9,884;1,264;8,728
"insuficiente";1,466;0,113;0,128;-0,964;-0,477
"instalacao";71,898;-4,887;-10,567;1,867;-9,077
"inepto";-5,216;-4,887;62,496;-7,454;-3,248
"incumbir";-0,945;-0,772;-2,635;35,38;-5,049
"gracie";-0,672;-0,629;-1,361;-0,96;10,651
"ferir";-3,298;3,555;-0,002;2,912;-2,205
"favor";-1,192;1,468;-9,543;16,893;-0,489
"estrutural";20,486;1,052;-0,459;-0,697;-8,706
"estrategia";-0,092;-2,992;-10,909;56,714;-3,543
"equipa";-0,234;1,716;-9,201;32,98;-7,593
"epidemia";-1,451;1,052;-10,226;56,154;-11,295
"ellen";-0,672;-0,629;-1,361;-0,96;10,651
"decisorio";-0,008;-1,109;0,491;-0,575;0,754
"correcao";21,375;-0,772;-0,073;-1,018;-3,263
"conveniencia";0,626;16,693;-5,878;-1,862;-0,035
"construcao";8,781;13,633;-5,559;0,008;-8,706
"concretizacao";0,499;42,688;-1,611;-3,527;-7,165
"colegiado";-0,17;-0,772;-4,303;-1,018;15,377
"branco";-0,078;7,3;-0,968;1,129;-3,383
"anm";116,019;-4,413;-4,927;-6,731;-5,747
"analogo";0,041;-0,485;-0,208;-5,41;8,321
"aije";-4,205;-3,939;-8,518;-6,009;66,673
"abrigar";-1,451;-4,729;36,51;0,008;-11,295
"abrangente";-1,72;-1,472;19,575;-2,045;-1,183
"1o";-0,008;-4,571;33,95;-6,972;-2,674
"verde";1,015;-0,47;-7,836;-3,322;16,68
"triplice";-4,542;-4,255;-9,201;-6,49;72,017
"tradicional";3,333;9,805;-1,374;-0,262;-5,049
"tentativa";-1,32;1,247;-1,016;-1,51;4,494
"restrito";-5,216;2,138;-1,404;-1,862;9,247
"repercussao";-0,305;-0,993;2,865;-0,461;0,023
"rediscutir";-5,216;-4,887;44,433;-7,454;-0,35
"parcela";12,139;-0,002;-5,559;1,032;-1,715
"ministerio_publico_federal";14,147;1,468;-4,927;-6,731;0,33
"lavra";32,939;-2,546;-7,381;-6,972;2,899
"inteligencia";0,103;77,203;-8,177;-5,768;-4,361
"inovacao";4,122;0,33;-5,242;0,034;0,001
"indicio";13,363;25,251;-8,518;-2,067;-6,854
"inafastavel";-3,138;-2,843;69,199;-7,454;-9,077
"inafastabilidade";-3,138;-1,349;4,498;-7,454;6,955
"fraude";-0,17;-2,106;-8,86;-6,249;43,098
"exaustivo";-2,19;-0,054;28,746;-6,009;-2,957
"epoca";1,885;0,124;-3,994;2,569;-0,674
"dito";3,299;-0,013;0,003;0;-1,956
"disponibilizacao";43,693;-1,228;-10,226;5,779;-11,295
"digital";-1,451;-0,33;-3,755;31,841;-2,958
"detalhado";-1,451;-2,694;-10,226;96,179;-11,295
"desvio";-4,036;48,972;-8,177;-0,111;-0,508
"criminoso";-4,879;143,179;-9,884;-4,708;-6,099
"contratar";39,302;-4,571;-7,381;9,04;-10,918
"condenatorio";-2,978;-2,694;-10,226;-7,213;66,029
"cartao";0,004;-4,255;-9,201;75,148;-10,163
"atestar";0,078;-4,887;-8,052;40,622;-1,956
"anulacao";-1,585;-2,843;-5,878;-7,454;50,079
"aluguel";16,518;-2,52;-0,001;-3,843;-0,043
"ajuste";65,207;-0,993;-7,046;-0,04;-7,964
"afetar";0,194;1,247;-0,024;-1,51;0,001
"adpfs";-4,71;-0,993;2,865;-0,461;2,028
"surgir";-2,978;-1,228;9,624;-3,099;0,55
"sofrer";-0,008;1,247;0,075;1,264;-4,213
"rodrigues";-1,43;-1,259;-6,812;-1,122;28,015
"ro";-4,71;-4,413;-4,927;-6,731;60,733
"respeitar";0,277;25,763;-7,046;0,574;-5,747
"reputar";-2,819;-2,546;3,929;-0,083;0,754
"reproduzir";-0,467;-1,228;-3,755;-4,942;27,607
"qualificado";-4,879;19,109;5,805;-0,575;-10,918
"pugnar";-0,467;-2,694;-10,226;-4,942;47,543
"preco";82,804;0,071;-8,86;-2,268;-9,786
"pgr";-1,451;-0,33;-0,459;-7,213;19,658
"pequeno";7,197;-4,413;-3,186;13,186;-3,892
"ofender";-0,467;17,856;-5,559;-4,942;2,44
"of";-3,194;0,078;0,386;9,573;-4,658
"notorio";0,128;-1,228;-7,716;8,218;0,55
"normatividade";-4,71;-4,413;60,509;-6,731;-3,892
"nacao";-4,71;20,463;-9,543;21,059;-7,964
"marcacao";45,155;-2,993;-6,471;1,824;-7,148
"interrupcao";-1,067;5,926;-9,201;18,317;-3,575
"intencao";41,698;-0,198;-7,046;0,574;-7,964
"instalar";-4,205;-0,667;-6,045;51,513;-2,957
"inseguranca";-4,71;-2,399;22,427;-0,461;-1,262
"guardar";-0,026;1,052;7,195;-3,099;-2,958
"gravidade";-2,978;4,377;-7,716;14,38;-0,809
"fila";-0,008;-1,109;-3,469;39,699;-8,334
"exaurido";-2,353;-2,204;7,467;-3,362;1,707
"eugenio_jose_guilherme_de_aragao";-1,344;-1,259;-2,722;0,164;9,172
"envio";-1,192;-2,399;2,865;13,186;-7,964
"entregar";-1,283;24,694;-6,471;6,315;-7,148
"dirimir";-0,026;-4,729;59,635;-7,213;-11,295
"desbordar";-5,047;-4,729;88,405;-7,213;-11,295
"derivar";-1,32;-0,261;8,046;-1,51;-0,147
"cota";-1,192;-2,399;-9,543;-4,475;48,218
"concorrencia";66,799;-0,002;-7,716;-4,942;-2,958
"claudia";-1,68;-1,574;-3,404;-2,401;26,639
"arguicoes_de_descumprimento_de_preceito_fundamental";-1,579;-3,308;-4,721;0,268;16,414
"aldeia";1,603;-4,097;31,295;-6,249;-7,223
"afim";82,004;-0,024;-8,177;-5,768;-4,361
"aditamento";7,901;-0,142;-9,201;-4,243;8,21
"aberto";0;-0,198;-7,046;4,816;0,999
"xxxv";-4,205;0,876;-0,383;-6,009;13,485
"venia";-1,067;-2,252;-0,142;-6,49;21,113
"solido";89,271;-4,571;-5,242;-4,708;-2,674
"seara";-2,503;118,08;-6,711;-6,49;-5,397
"restritivo";-1,192;0,435;-7,046;2,943;2,028
"relogio";2,669;-0,787;-1,701;5,297;-1,879
"razoabilidade";-1,067;56,154;-6,711;-0,356;-3,575
"provisorio";-0,17;0,071;-1,374;-2,268;6,758
"po";-2,819;-4,571;20,658;0,034;-2,674
"planta";1,885;-1,962;-8,518;44,496;-9,409
"pesar";-0,008;-1,109;3,929;4,266;-8,334
"operador";6,554;-2,546;-9,884;33,99;-8,334
"operacional";13,103;-4,571;-7,381;19,522;-6,099
"notificar";4,576;-2,993;-4,065;9,573;-1,272
"notificacao";0;8,223;-7,046;4,816;-2,397
"non";-1,008;6,776;0,201;-0,028;-2,255
"multa";30,873;0,035;-2,908;-2,472;-2,127
"maranhao";4,576;-0,152;-6,471;-0,949;3,857
"lopes";0,148;-0,048;-1,666;-4,083;8,517
"legislatura";-1,192;-2,399;-9,543;-6,731;54,295
