"";"classe 1";"classe 2";"classe 3";"classe 4"
"digno";-4,588;-18,801;-5,744;63,678
"comprovante";-13,602;-30,471;-7,79;118,992
"climatico";-16,669;-31,571;10,846;58,044
"atinente";-3,967;9,242;11,596;-11,25
"assentada";23,195;0,764;-5,744;-15,826
"amazonia_legal";18,089;-11,042;-7,296;1,141
"verbis";0,358;0,035;-0,049;-0,389
"tarefa";-18,338;6,617;0,461;0,969
"sedimentar";-2,465;-27,4;-7,691;73,916
"sancionar";124,443;-21,651;-0,529;-28,291
"inovacao";-12,381;-14,005;-0,772;59,794
"imaginar";-0,075;0,523;-7,691;1,512
"fundeb";-10,553;-25,867;500,567;-30,555
"faixa";-17,669;-11,484;-5,744;80,21
"tecnologico";-18,003;-7,524;-5,841;69,561
"taxa";-5,333;-21,707;-2,502;63,476
"secundario";16,346;5,266;-7,79;-19,947
"reproducao";0,003;8,82;-7,592;-1,975
"renda";-14,918;-22,144;-0,575;80,573
"rejeicao";15,617;3,856;-0,209;-30,063
"permissao";-5,046;13,5;-6,506;-0,007
"pag";0,031;-3,873;130,097;-27,023
"ibge";0,808;-14,161;100,991;-10,188
"horario";-0,003;3,273;-5,815;-0,105
"funcional";-19,223;93,816;-5,551;-19,111
"expressivo";0,015;-5,012;32,555;-1,791
"efetuar";-6,663;1,547;11,726;-0,915
"content";-5,193;-7,928;-1,477;33,776
"conseguinte";-0,835;4,835;2,256;-5,43
"colateral";-20,893;2,178;-7,395;20,164
"belo";-2,645;-1,581;-4,009;16,607
"apelacao";-11,462;110,136;-7,691;-34,724
"verificacao";0,584;-0,219;26,669;-11,811
"templo";-21,58;-40,765;-7,592;160,883
"silenciar";-16,516;50,854;-6,802;-3,559
"reparticao";-2,505;14,727;6,027;-15,802
"regulamento";-5,514;-9,546;0;29,211
"outorgar";-1,874;34,185;-7,79;-9,012
"forno";-27,745;-42,356;-7,889;180,449
"fechado";-4,363;0,061;-5,647;10,204
"costa";-8,05;-17,55;-7,098;74,87
"carvalho";2,456;-0,035;-5,025;0,009
"borges";4,79;-3,158;-1,083;0,162
"beneficio";-6,327;-13,197;-3,29;52,536
"arguicoes";104,708;-17,859;0,002;-28,734
"amazona";17,818;-7,928;-1,477;-0,118
"vigilancia";-20,549;-33,288;-5,261;135,906
"usado";-0,649;-6,702;-0,441;14,759
"tocantins";-0,007;10,939;-2,757;-5,287
"significado";-1,106;11,189;-3,919;-1,504
"requisitar";0,328;9,961;-1,579;-9,103
"ref";121,745;-25,308;-4,3;-15,851
"presidir";-12,019;35,946;4,351;-17,525
"preconceito";-26,703;-29,434;-7,592;148,586
"ponderar";-1,106;-0,053;-5,647;7,307
"pobreza";-20,264;-31,936;-4,491;129,918
"originario";-0,006;26,383;-4,009;-15,826
"nomeacao";0,067;38,676;-3,558;-30,109
"neto";0,18;-4,479;-4,137;9,228
"motivar";-5,758;19,589;-0,001;-5,152
"investigatorio";-16,669;96,682;-7,494;-20,908
"florestal";1,844;-14,035;-7,592;18,316
"estrategico";-14,918;-26,889;2,684;63,8
"esperar";-0,982;0,008;13,218;-1,975
"domiciliar";-2,319;-13,708;-6,703;47,056
"dnv";-17,191;-31,707;-7;129,197
"corrigir";0,067;-6,702;50,091;-3,831
"contabil";-16,005;-20,668;472,86;-24,83
"consonancia";-3,347;1,44;-1,406;1,512
"cogitar";-0,571;23,532;-3,113;-10,188
"canotilho";-21,995;-17,076;-7;106,852
"atacar";1,556;-0,506;-7,395;1,524
"assento";0,015;0,81;0,006;-1,187
"abate";57,681;-28,398;-7,395;0
"uploads";-3,808;-5,813;-1,083;24,767
"territorial";-0,982;-4,274;-5,551;20,493
"sentir";-1,952;3,849;-2,266;0,054
"semanal";-3,462;-2,67;-0,984;16,481
"racial";-9,654;-15,534;-3,379;66,285
"proporcao";-10,553;0,558;67,373;-7,688
"posicionamento";20,163;1,104;-3,828;-17,011
"ofender";-9,773;30,139;-5,647;-1,504
"moderno";-23,727;-3,083;-1,275;50,71
"irrigacao";-20,451;-31,221;-5,815;133,008
"inviabilizar";8,033;-7,052;3,002;-1,039
"inteiro";-0,533;-6,487;36,388;-0,174
"insuscetivel";8,53;13,036;-7;-23,517
"ingressar";9,603;-4,707;-1,211;0
"higidez";1,602;7,133;-6,012;-5,922
"forense";-12,341;0,558;-7,395;17,977
"demandar";1,203;-0,151;0,705;-1,342
"celso";-1,398;-3,39;-6,605;21,23
"ameacar";-7,668;-23,956;-7,494;87,615
"transformar";-4,566;4,242;-5,261;1,743
"semana";-0,494;-5,761;-1,434;15,054
"realcar";-0,164;-1,621;0,006;2,714
"quantitativo";-3,635;-3,802;84,736;-3,54
"provisorio";0,358;3,658;0,359;-8,456
"pgr";27,192;3,849;-7,395;-27,849
"oferta";-5,058;-14,804;-2,757;50,729
"metodologia";2,286;-16,924;38,248;-1,039
"interferencia";-7,325;11,471;-2,675;0,007
"ingrediente";-11,832;-13,632;-5,42;72,301
"impositivo";-21,236;-15,435;474,712;-25,706
"deficiencia";-7,668;-23,956;-3,738;78,547
"custeio";-4,313;0,003;65,683;-9,666
"contemporaneo";-14,918;-9,161;-7,592;71,942
"comparecer";-1,235;15,495;-0,754;-6,085
"ultrapassar";3,361;-1,288;-0,964;0,002
"transparente";-25,66;-4,408;173,952;-1,442
"sumular";-1,55;60,56;-6,703;-27,44
"sorte";5,709;-0,399;-2,187;-0,485
"sequencia";40,6;-1,761;-1,652;-14,984
"restabelecer";115,959;-14,983;-2,266;-27,849
"questionamento";21,955;-2,075;-2,266;-4,086
"ouvir";16,063;-1,288;-7;-0,977
"obviar";-22,687;7,031;-5,164;10,141
"multiplo";-1,634;-0,303;-2,109;7,165
"instruir";27,669;1,606;-3,379;-26,521
"harmonia";-2,574;9,232;-1,148;-0,9
"fraude";-0,732;-0,292;14,155;-0,925
"doutrinar";3,841;-0,301;-1,275;-0,35
"censura";-11,095;-19,202;-7;86,627
"ataque";-12,019;-1,323;-6,703;36,854
"america";-23,923;-18,231;-6,802;113,338
"admissivel";1,966;17,053;-7,197;-15,393
"rondonia";-1,09;-5,539;45,78;-0,598
"preventivo";-1,483;-2,134;-5,068;16,418
"pecuniario";-21,145;45,053;1,294;-10,669
"obscuridade";116,304;-14,085;-1,086;-32,494
"obito";0,149;-29,292;-6,012;45,283
"mello";-4,074;0,471;-6,111;7,477
"matar";-23,576;-30,128;-6,703;140,583
"equipamento";-24,966;-38,113;-0,359;131,433
"delegar";-23,38;68,57;-1,211;-10,716
"comentar";-12,979;13,036;-0,32;0,002
"clinquer";-15,011;-34,582;-7;129,197
"wp";-3,462;-5,285;-0,984;22,515
"viabilidade";-2,391;0,86;-3,468;2,76
"teste";-11,067;-23,243;-6,407;93,802
"sc";1,892;-17,134;-5,223;19,161
"rtj";35,976;-14,11;-3,538;-0,416
"reproduzir";-1,337;-0,018;1,205;0,309
"recursal";105,254;-5,683;-7;-31,602
"pobre";-9,661;-4,479;-2,23;36,584
"plenitude";-18,148;21,034;-4,587;0,401
"objetivar";-0,46;-2,134;1,109;2,238
"interministerial";-2,89;-28,957;23,438;17,301
"imputar";-7,489;22,367;-3,201;-1,381
"goias";16,172;-3,388;-0,384;-2,334
"embargante";84,189;-5,417;-4,204;-25,217
"despacho";57,27;-20,178;-2,109;-2,685
"consequente";4,869;-0,003;-2,109;-1,279
"confirmacao";30,608;-17,266;-2,937;0,011
"cometer";-19,519;-0,018;-7;35,536
"biometria";3,621;-0,111;0,244;-3,11
"augusto";38,712;-6,353;-3,842;-4,334
"vogal";64,88;-10,203;-0,077;-17,344
"virus";-18,148;-29,602;-6,605;126,145
"tribuna";60,706;-6,232;-4,779;-11,923
"tradicional";-8,769;0,084;-1,802;11,125
"tiro";-0,178;-0,555;-5,913;7,138
"ribeirao";58,699;-2,436;-4,236;-19,125
"reparacao";-0,376;-9,817;-4,972;26,926
"regramento";-4,111;3,11;58,706;-21,517
"quorum";-4,799;76,597;-6,407;-28,927
"privilegiar";-9,358;3,468;0,465;0,309
"pasta";-11,405;-19,69;180,759;-0,301
"pacificar";22,282;-2,921;-5,068;-1,731
"opinar";86,655;-11,869;-2,031;-19,211
"meta";-23,229;-15,195;278,794;-3,067
"maranhao";-0,038;-5,634;3,739;2,059
"indice";-19,572;-22,731;3,493;63,142
"incentivo";0,531;-1,817;-4,3;3,93
"ilegal";-1,962;-11,021;-0,681;27,65
"esteira";-0,898;6,288;-0,359;-1,731
"diminuir";-12,019;-7,191;-4,683;54,549
"destacado";-0,46;0,001;3,532;-0,301
"contingenciamento";-8,477;-35,992;414,573;-13,398
"avanco";-2,695;-20,956;2,44;28,15
"analogo";-0,005;-1,288;-3,29;5,559
"ajuizar";48,044;-15,195;0,182;-7,902
"abster";-6,066;-6,581;43,412;0,808
"tentativa";-0,476;0,016;-1,727;1,787
"seculo";-17,121;-10,172;-6,308;76,728
"rotativo";-22,341;-38,113;-7,098;155,921
"restauracao";0,388;-22,815;-6,802;35,359
"poder_executivo_federal";-7,212;-3,959;63,041;-0,102
"pl";13,022;2,892;-4,927;-14,412
"pertinencia";40,193;-2,921;-0,035;-17,036
"ofertar";-0,513;-2,818;0,704;3,566
"obedecer";-10,752;4,292;20,226;-3,286
"inequivoco";0,177;0,795;-6,703;0,081
"fortaleza";35,389;-4,228;-4,433;-4,891
"distanciar";-16,854;-12,756;20,199;22,917
"distanciamento";-14,681;-14,616;-6,901;84,529
"detrimento";-10,786;0,205;-0,013;7,362
"concordar";0,084;5,66;-1,579;-3,8
"comparar";-6,066;-9,416;-0,905;37,006
"britto";47,831;-16,301;-3,538;-1,5
"argumentacao";19,188;-0,002;-6,901;-6,106
"acordar";147,914;-34,582;-3,29;-18,789
"procurar";-5,551;-1,323;-3,024;20,185
"perdao";-20,264;36,067;-6,506;-0,121
"miranda";-5,886;-5,318;-0,432;25,813
"imunizacao";-10,752;-28,024;-6,308;102,31
"gente";-8,186;-0,309;-2,937;18,858
"folha";-0,513;0,058;-0,193;0,492
"estrangeiro";-12,339;-10,604;-3,113;60,435
"estipular";-5,333;-2,956;25,948;0,65
"espirito_santo";1,165;0,596;-1,575;-1,084
"entornar";-19,918;-31,407;-6,407;133,821
"elegibilidade";-20,264;87,855;-6,506;-14,577
"delimitar";0,075;4,901;-0,013;-6,106
"concessionar";-5,54;-3,447;-1,575;24,194
"comprovacao";13,958;-26,331;0,465;1,764
"comercial";-6,318;-5,169;-3,443;34,475
"antecipado";-0,17;32,951;-3,024;-19,796
"alocar";-24,618;-26,331;426,304;-7,785
"adulterio";-21,145;-26,448;-6,012;124,808
"absolver";-16,179;77,49;-6,703;-13,398
"xliii";-3,833;56,115;-5,519;-19,466
"tanger";2,978;0,636;-0,847;-3,559
"reforma";-0,075;-0,002;3,924;-0,839
"raciocinio";0,177;8,603;-4,683;-4,336
"morar";-0,515;-7,004;145,085;-16,38
"magno";-8,769;6,609;-1,802;0,971
"jurar";-3,84;-26,448;268,723;-8,933
"incorrer";0,029;0,376;-2,332;0,023
"horizonte";-15,843;-1,145;-4,587;38,407
"cuidado";-2,438;-3,512;0,014;11,141
"concentracao";-21,302;-9,018;2,596;41,842
"comunicar";26,985;-3,802;-1,506;-4,625
"comprometimento";-5,124;-8,484;1,951;18,327
"certificado";-7,042;-17,501;-6,21;69,993
"biometrico";0,183;-3,171;-0,591;3,632
"autoritario";-23,923;2,425;-3,113;16,964
"apreco";-5,807;26,054;-0,249;-7,127
"university";-12,669;-12,643;-2,414;63,943
"suspeicao";12,301;11,28;-6,111;-27,59
"submissao";-1,55;-1,976;-4,683;15,735
"sensivel";-4,554;18,873;-3,113;-1,861
"rodada";-8,657;-27,498;-6,21;94,717
"rastreabilidade";-16,516;-33,524;477,995;-13,794
"pt";21,599;-16,529;-1,276;0,238
"prestador";-0,196;-22,424;-4,729;44,162
"preco";-11,384;-23,757;-0,155;71,6
"petreo";-13,038;63,504;-6,407;-10,41
"partido_comunista_do_brasil";73,093;-16,516;-0,17;-13,344
"news";-12,339;-16,132;-6,802;82,437
"marido";-20,798;-13,936;-5,913;93,522
"luis";19,802;-2,596;-6,308;-0,999
"licitar";-22,881;27,337;-6,506;0,519
"estimular";-17,121;-10,172;-0,577;58,908
"entendido";-2,505;0,296;-1,802;3,129
"divulg";189,117;-35,992;-4,683;-30,264
"disponibilidade";-4,074;1,49;1,185;0
"decretar";-12,711;27,334;-1,434;-1,614
"atualizacao";-16,779;-22,218;-4,204;100,11
"angular";-1,791;28,716;-1,506;-12,218
"agentes_publicos";-10,752;-0,001;2,047;5,078
"academico";0,328;-4,099;-4,491;8,155
"xxxiii";-11,067;18,616;0,262;-2,6
"subsistir";9,086;-1,761;-4,587;-0,026
"souza";-1,138;-1,538;-2,322;10,44
"santa_catarina";3,898;-3,388;2,991;-1,088
"roraima";0,04;-2,552;1,312;0,559
"ribeiro";1,096;-0,735;-0,512;0,112
"racional";-11,701;-4,403;1,647;21,23
"proposto";1,115;-1,761;41,234;-13,003
"press";-9,326;-4,114;-2,139;34,66
"passagem";0,029;1,338;0,08;-2,334
"mt";51,232;-1,191;-4,729;-18,558
"imparcialidade";-20,264;78,412;-2,849;-14,577
"graduacao";-5,333;-14,879;-6,111;59,163
"fornecimento";-0,205;-0,147;-4,335;4,465
"formalizar";53,845;-6,465;0,22;-21,334
"fake";-11,384;-12,808;-4,491;67,154
"exato";3,928;2,566;-0,155;-10,785
"dividir";-7,61;-3,802;19,569;3,551
"corte_constitucional";-1,467;8,851;-6,21;-0,142
"conjuge";-14,834;65,963;-6,308;-10,037
"concorrente";-13,038;18,616;-4,395;0,073
"comparecimento";-1,286;-0,829;-2,954;9,46
"cientifico";-19,918;-23,243;-6,407;115,802
"certidao";4,917;-11,161;-5,321;7,676
"agu";100,822;-30,349;-6,21;-5,241
"acontecer";-7,325;0,053;2,047;2,074
"acentuar";-0,388;2,253;-1,652;-0,026
"vicio";61,931;-3,946;-1,292;-22,107
"velloso";63,67;-6,466;-5,025;-12,594
"tutelar";-0,978;-4,567;-2,675;17,231
"ricardo";4,307;-0,845;-0,207;-0,542
"residir";-4,313;0,729;-0,527;2,358
"republicacao";185,235;-33,871;-6,308;-28,481
"pesar";-0,118;4,061;-0,735;-1,492
"osicao";4,198;0,388;-0,886;-3,999
"obstaculo";3,351;-0,71;-0,303;-0,275
"moreira";25,807;-2,271;-5,519;-3,255
"irregularidade";35,48;-9,33;2,274;-11,738
"goncalves";3,238;-2,605;-1,423;0,487
"conceber";-14,834;0,572;-0,103;9,405
"anulacao";-0,017;-0,001;44,724;-15,851
"alimento";-14,164;-26,973;-6,111;109,116
"alencar";0,09;-8,254;72,217;-6,668
"advocacia";18,606;-0,993;0,163;-10,938
"administrar";-12,06;-3,946;1,185;21,736
"xiii";-10,438;0,729;-4,204;11,89
"suprimir";-12,385;1,252;-2,588;10,081
"sergipe";-0,047;4,182;-1,28;-1,444
"ramo";-0,189;-0,754;-3,16;5,793
"psol";61,248;-22,777;6,059;-16,13
"produtivo";-8,061;-32,281;-6,012;101,226
"persecucao";-22,881;53,302;-6,506;-2,003
"pdt";71,668;-4,699;-4,927;-19,444
"marcelo";-0,216;1,377;-1,871;0,006
"invocacao";-2,632;9,057;-6,407;0
"inviolabilidade";-17,806;-16,785;-6,506;95,97
"inseguranca";0,946;-7,387;-4,013;9,733
"incorporacao";-3,609;30,287;-0,029;-14,192
"guardar";-3,414;6,748;-0,577;-0,209
"francisco";-3,869;-1,465;0,206;8,004
"defensor";-3,465;2,347;-3,349;1,733
"convocar";-0,769;7,013;-2,507;-0,844
"celebracao";-0,851;-13,345;10,548;6,909
"calamidade";-1,791;12,472;-4,395;-1,155
"biologico";-17,121;-33,871;-6,308;131,567
"andamento";35,147;-0,977;-4,491;-10,785
"amapa";-0,726;-0,759;-0,026;3,254
"transicao";5,013;0,117;1,41;-10,287
"tradicao";-7,325;3,271;-6,308;5,078
"sub";-0,593;18,616;-2,762;-7,228
"sitiar";-10,438;0,003;45,968;-1,432
"ricar";-4,074;-17,012;-6,111;59,163
"prestigiar";-3,635;4,957;-4,395;0,654
"onibus";-1,898;-6,342;-1,181;20,907
"marcacao";-14,164;-29,82;1,185;72,556
"et";-18,021;-24,536;-5,124;110,785
"eps";-7,272;-8,254;-2,068;41,013
"contratar";-10,444;0,007;0,172;7,392
"constatacao";-2,249;0,729;34,773;-9,666
"colog";10,566;-11,661;-4,137;2,889
"coerencia";-9,812;48,743;-2,417;-10,669
"cnpe";-6,206;-28,763;-5,913;88,186
"cadastrar";-5,597;-3,676;8,754;5,69
"argumentativo";-3,414;4,292;-2,675;0,393
"acessivel";-17,463;-16,306;9,732;38,294
"reservar";-2,438;24,653;0,014;-13,766
"repressao";-10,438;-6,722;-6,21;52,901
"presencial";-0,515;-3,354;-3,918;14,376
"pequeno";-0,619;-5,995;-0,043;11,542
"nominal";-16,779;97,383;-2,588;-28,035
"lc";-4,074;18,173;10,237;-19,906
"humanidade";-13,829;-8,924;-6,012;65,894
"hierarquia";-8,957;-0,088;-6,308;22,026
"diferenciado";5,946;0,06;-4,013;-1,75
"desmatamento";-19,409;-26,649;-5,519;119,807
"descumprir";8,01;-1,033;-3,918;-0,166
"cpc";92,731;-5,64;-5,913;-26,698
"configuracao";0,698;-2,108;-1,669;2,264
"comecar";-0,515;-5,64;-2,332;16,577
"cautela";-6,761;0,175;-4,109;10,792
"advocaticio";-18,535;-26,448;555,626;-27,144
"volta";-0,183;-0,892;-0,892;3,853
"rubrica";-14,499;-22,218;474,87;-25,217
"pf";30,819;-0,007;-2,972;-16,834
"paraiba";2,845;0,087;-0,026;-3,249
"nacao";-18,88;-0,423;-1,292;30,123
"mp";-5,931;8,439;-1,087;-0,002
"liquidar";-10,124;-32,811;445,886;-17,23
"intimar";1,983;-8,484;-1,996;6,464
"galo";0,001;-25,592;-5,321;43,646
"fnma";-0,331;10,901;3,064;-15,532
"equivocar";5,494;5,242;-6,111;-9,298
"dinheiro";-12,496;-4,611;122,985;-1,696
"declaratorio";124,353;-19,667;-3,728;-22,995
"debater";13,041;-0,316;-6,012;-1,75
"clareza";-0,003;1,252;10,548;-9,666
"causador";-13,162;-28,234;-5,815;108,235
"assuncao";-11,735;52,578;-4,013;-8,933
"apropriado";-0,731;-2,108;-0,479;7,477
"ap";47,172;-3,041;-5,124;-10,932
"amparo";1,645;0,446;-5,321;-0,226
"socioambiental";3,105;-14,879;-6,111;14,715
"repercussao";3,43;-8,924;-4,013;6,576
"qualificar";-1,229;13,731;-3,633;-2,526
"prioritario";-2,375;-8,111;12,386;4,913
"metade";-13,033;0,349;63,05;-4,425
"listar";-2,375;-0,431;-2,247;9,385
"inviavel";11,009;-1,213;-1,223;-1,75
"ideologico";-18,189;-4,423;-1,155;47,212
"fenomeno";-3,84;-2,69;-2,417;20,322
"expediente";3,43;12,104;-1,223;-21,666
"europeu";-19,062;-20,642;-5,42;105,213
"estrutural";-1,313;-7,775;0,039;14,715
"duracao";8,589;-2,185;-0,017;-1,372
"divisao";-13,495;0,783;2,689;2,408
"disseminacao";-9,501;-31,751;-5,913;104,665
"destino";-15,414;-20,176;107,384;3,741
"demonstracao";41,478;-11,618;-0,829;-4,092
"complexidade";8,01;-11,982;4,378;-0,166
"cmo";-21,492;-21,707;544,816;-27,59
"cear";2,472;-0,324;2,525;-3,555
"campanha";-9,485;-0,228;-0,768;15,609
"atributo";-1,313;-32,811;-1,292;59,163
"aquisicao";-11,411;-28,763;-0,029;77,983
"apurar";-14,164;5,242;1,185;0,282
"agua";-19,757;-30,161;-5,617;128,492
"administrador";-6,206;24,602;-2,332;-3,267
"vegetal";-15,939;-24,333;-4,532;103,665
"suma";-3,609;5,033;2,689;-2,334
"profundo";0,946;-5,995;-1,223;5,229
"prescrever";-9,501;7,766;-0,029;0,023
"notar";0,149;-0,316;0,058;0,004
"mauricio";117,737;-17,292;-5,716;-20,345
"lopes";5,693;0,174;-2,56;-2,888
"lesado";-17,843;49,199;0,612;-13,78
"internet";-6,765;-11,742;2,834;24,528
"inaugurar";0,149;7,133;-1,223;-5,922
"inadmissibilidade";50,831;-3,647;0,058;-24,328
"ignorar";-11,411;2,04;-2,332;7,138
"ibama";-7,766;-25,923;-5,913;88,186
"especificacao";-2,181;-6,253;59,782;-0,655
"entregar";-5,124;-4,282;0,212;15,93
"enquadrar";12,439;-0,012;-1,087;-6,671
"delimitacao";-0,619;12,104;-2,417;-3,527
"combater";-0,515;-8,516;-3,918;24,122
"arrecadacao";-13,712;-25,592;193,367;0,013
"aparente";-6,482;-4,748;-0,432;25,637
"aaas";-9,501;-23,23;-5,913;88,186
"york";-8,553;-11,356;-3,152;53,889
"volume";-8,882;-24,873;227,825;-1,9
"titularidade";-15,755;15,003;-3,918;0,984
"solido";-0,807;-11,161;-0,16;20,62
"relembrar";-2,181;1,87;-2,163;0,809
"quarto";-1,811;2,516;-0,227;-0,004
"qo";106,479;-11,161;-5,321;-24,025
"preferencia";-5,391;-1,719;-0,956;17,264
"porto";-4,319;-30,691;-5,716;83,845
"permissionario";-3,116;-4,756;-0,886;20,263
"medico";-15,081;-24,008;-5,025;102,296
"mato_grosso_do_sul";4,79;-1,306;-1,083;-0,063
"marcar";-6,318;0,318;0,001;3,162
"legitimacao";0,216;-0,555;-2,332;1,618
"justificado";-2,573;2,04;-3,918;1,618
"intencao";0,107;1,87;-2,163;-0,655
"ilustre";14,631;0,975;-5,815;-9,907
"frisar";0,034;3,487;-1,996;-1,5
"exterior";9,589;-7,626;-4,532;1,515
"esvaziar";-3,609;1,338;-0,387;0,984
"esposo";-17,152;-3,492;-3,633;49,381
"ensinar";-13,162;-3,07;-5,815;45,34
"eliminar";-8,882;-1,252;-0,303;18,63
"carmen";12,672;-8,983;-1,126;0,14
"cair";-0,684;-6,78;-2,048;18,939
"baixo";-16,807;-8,484;3,479;32,831
"anvisa";-8,851;-24,536;-5,124;86,913
"aluno";15,486;-9,322;1,665;-1,9
"afigurar";1,116;0,005;-0,029;-0,936
"trabalhar";-9,485;-4,82;-3,349;39,834
"retroativo";108,508;-21,676;-0,956;-19,906
"residencia";-8,553;-14;-3,152;59,661
"reservado";-7,181;30,383;-0,008;-9,529
"regulador";-10,444;-4,611;-3,633;41,638
"recair";3,273;-5,169;44,212;-12,144
"prevenir";-10,444;-7,316;-2,079;45,427
"plurianual";-19,757;-30,161;557,978;-22,551
"motocicleta";-6,233;-6,702;-1,772;34,291
"mitigacao";-8,882;-15,071;12,894;21,169
"inaceitavel";-10,765;-3,795;-5,716;43,482
"herman";-14,736;-20,685;-4,927;94,007
"generalidade";28,256;-17,79;-1,087;-0,002
"enunciado";-7,472;41,813;-5,815;-6,671
"depreender";1,983;1,048;-1,996;-2,293
"caracterizacao";2,251;-3,959;-0,192;0,812
"arquivamento";-5,391;66,665;-5,617;-22,551
"aperfeicoamento";-0,127;-0,231;0,045;0,493
"abrangente";0,001;-13,002;-1,021;18,63
"utilidade";24,632;-10,257;1,294;-4,425
"uber";-8,992;-18,207;-3,94;71,661
"trans";-16,462;-29,101;-5,42;117,551
"ss";-4,776;-0,266;-3,25;13,813
"somar";-6,177;4,504;28,205;-9,735
"perfil";0,634;-5,524;7,849;-0,004
"pdf";-12,471;-13,411;-3,546;68,615
"narrar";0,034;-1,502;0;1,196
"molde";0,435;0,91;6,059;-9,803
"memorial";73,988;-9,764;-3,443;-14,267
"invalidar";-5,66;33,505;-1,021;-9,529
"insuficiente";-0,94;-3,959;0,257;7,051
"imagem";-17,152;-21,676;-0,956;86,954
"habeas_corpus";6,928;7,349;-5,519;-14,688
"governante";-14,732;-1,066;0,172;19,733
"excesso";-9,485;-0,583;1,063;9,398
"efetivacao";-1,811;-2,271;0,862;5,074
"educacional";-7,965;-15,808;27,371;12,478
"domesticar";-19,062;-20,642;-5,42;105,213
"deferencia";-0,039;13,731;-3,633;-6,008
"credito";-3,16;-22,194;352,496;-25,807
"corporis";-12,829;82,882;-2,163;-25,807
"concernir";-7,965;26,043;0,959;-10,192
"apreensao";-0,566;-0,081;-5,124;5,793
"transgressao";-17,674;26,189;0,493;-2,983
"subnacionais";-3,361;-4,82;132,744;-9,803
"renato";3,09;1,053;-0,984;-4,444
"profissao";-1,558;-1,626;-4,927;14,974
"preconizar";-10,123;21,895;-5,519;-0,126
"penalidade";-7,334;7,892;-0,452;0,007
"peculiaridade";-0,94;0;-5,42;5,583
"pautar";0,506;0,409;-0,956;-0,53
"passivar";1,029;0,844;3,266;-9,154
"parceria";-2,472;8,357;5,018;-8,274
"paralelo";-1,301;-5,785;53,888;-0,968
"medio";4,018;-7,259;-0,708;1,957
"machado";-1,491;-0,073;-3,053;6,334
"interpretativo";-2,942;9,911;-5,617;-0,024
"incorporar";-6,891;-0,039;-2,079;12,82
"ilegitimidade";50,133;-2,528;-5,617;-12,959
"funcionario";-6,765;-0,601;-3,066;18,882
"ferir";-8,27;5,903;-0,227;0,264
"federalismo";-10,123;5,903;3,479;-0,416
"favorecer";-13,372;-10,708;61,186;3,978
"facultar";-0,437;11,566;-1,913;-4,092
"estrategia";-16,807;-16,301;-0,227;69,518
"espiritar";-10,123;8,952;-3,538;1,196
"efetivar";0,557;-7,259;0,015;3,978
"dificultar";-5,754;-0,146;6,39;1,212
"cunha";0,06;-1,069;-0,057;0,962
"coordenacao";-14,052;-15,808;-1,913;72,301
"comutacao";-13,033;62,174;-5,124;-10,932
"certeza";-6,318;-8,071;-1,913;37,994
"carga";-4,176;-4,664;-1,25;23,548
"adolescente";-4,344;-8,9;-3,254;38
"tela";3,273;0,078;-0,829;-2,068
"suceder";-1,081;19,342;-3,538;-5,682
"solidariedade";-1,138;-12,151;-2,322;30,753
"seara";-3,595;0,078;-3,443;7,051
"saudavel";-1,811;-18,651;-0,892;39,808
"residual";21,581;0,778;-1,669;-20,332
"qualificacao";-7,062;6,933;-5,124;1,45
"prosseguir";-1,081;12,634;0;-7,147
"prosseguimento";33,905;-0,326;-1,913;-16,562
"prisional";-8,232;-10,488;-4,335;53,916
"prejudicialidade";129,513;-23,301;-1,913;-24,47
"numero";-10,841;-14,335;0,028;47,847
"logistico";-0,142;-1,376;-1,957;5,911
"liv";-9,803;35,455;-5,42;-2,995
"liberal";16,784;-7,212;-4,039;0,017
"liberacao";5,378;-22,253;61,186;-4,732
"laudo";-11,679;-4,009;-2,785;40,101
"joao";-3,465;-0,4;-1,511;10,083
"guerra";-0,437;-15,808;-5,42;37,994
"filiacao";-10,123;30,5;-5,519;-1,5
"feminino";-15,081;-13,848;-1,589;68,765
"estimativa";-10,331;-14,999;148,325;-0,252
"estatistica";-0,012;-6,782;-1,052;11,7
"especificidade";-0,345;-4,82;-3,349;15,609
"empenho";-19,062;-29,101;494,674;-16,562
"ementado";43,692;-6,925;0,212;-14,688
"egide";-12,164;19,342;0;-1,5
"decada";-7,965;-3,959;11,167;7,051
"cercar";-15,081;-13,848;1,423;45,892
"ator";-2,728;-0,44;-3,538;11,64
"amplitude";2,541;1,539;0,307;-9,803
"vulneravel";-2,687;-18,58;-5,025;54,488
"vigorar";-0,014;0,349;1,294;-1,444
"subordinar";-11,501;8,753;-1,831;1
"socioeconomico";-11,832;-20,642;89,948;4,287
"situar";-2,472;0,045;-2,972;5,459
"precatorio";-1,635;-23,301;323,6;-24,47
"postura";-1,738;20,505;-5,025;-4,123
"pergunta";-1,738;17,923;-1,589;-5,449
"organismo";-15,081;-1,861;-5,025;41,87
"manifesto";4,018;-2,366;0,015;-0,151
"mandamento";-9,856;7,417;1,707;-0,412
"lrf";-4,344;-0,146;77,172;-9,417
"justificacao";-16,462;0,318;-0,192;12,478
"improbidade";-2,158;18,376;-2,856;-3,923
"gp";27,884;0,778;-5,124;-20,332
"fundo_nacional_do_meio_ambiente";0,081;-0,231;43,426;-14,841
"falso";-11,501;-11,161;-5,321;65,317
