"";"classe 1";"classe 2"
"defendê";-20,183;20,183
"decisivo";-17,672;17,672
"armar";-13,869;13,869
"almedina";-17,376;17,376
"acionar";-0,459;0,459
"aceitável";-1,056;1,056
"verbete";-1,308;1,308
"velho";-12,294;12,294
"terrestre";-17,214;17,214
"sobrevivência";-19,589;19,589
"provocação";-12,579;12,579
"penha";-4,199;4,199
"paritário";-17,376;17,376
"ouvido";-14,744;14,744
"nunc";53,262;-53,262
"necessitado";-17,08;17,08
"literalidade";-9,029;9,029
"jun";-11,18;11,18
"intermediação";-17,376;17,376
"impunidade";-19,589;19,589
"hierárquico";-15,035;15,035
"frequentemente";-19,589;19,589
"fraudulento";-9,242;9,242
"frança";-15,432;15,432
"filosófico";-19,886;19,886
"federacao";7,118;-7,118
"escravidão";-15,603;15,603
"diretoria";-14,452;14,452
"detectar";-13,578;13,578
"cuidadoso";-5,871;5,871
"cotidiano";-19,589;19,589
"conviver";-19,886;19,886
"concretude";-7,365;7,365
"cingir";-7,365;7,365
"caro";-5,637;5,637
"andar";-0,239;0,239
"amado";1,583;-1,583
"alarmante";-19,589;19,589
"afeto";-12,864;12,864
"adin";124,325;-124,325
"acessório";-16,785;16,785
"abstração";-0,459;0,459
"vulneração";4,09;-4,09
"seio";-19,292;19,292
"sao";-2,967;2,967
"recorde";-12,997;12,997
"portuário";-11,158;11,158
"populacional";-16,489;16,489
"luiza";-2,077;2,077
"intervalo";-13,869;13,869
"globo";-5,341;5,341
"fugir";-7,115;7,115
"custear";-14,452;14,452
"criticar";-16,489;16,489
"costumar";-10,586;10,586
"contrapartida";-17,08;17,08
"condicional";-15,432;15,432
"cnt";64,229;-64,229
"autocontenção";-10,035;10,035
"arquitetura";-12,997;12,997
"agregar";-3,197;3,197
"veiculação";-10,31;10,31
"united";-3,523;3,523
"substantivo";-12,294;12,294
"saudoso";38,94;-38,94
"rights";-8,832;8,832
"restaurar";-6,127;6,127
"repercutir";-19,292;19,292
"regente";-12,294;12,294
"proximidade";-12,009;12,009
"propagação";-18,698;18,698
"prado";2,401;-2,401
"operacionalização";-8,5;8,5
"jurisdicionar";-10,31;10,31
"julia";-2,373;2,373
"imprimir";22,69;-22,69
"guia";-13,287;13,287
"gratuitamente";-19,292;19,292
"freire";0,01;-0,01
"filiar";-0,015;0,015
"fabricio";13,483;-13,483
"evoluir";-0,306;0,306
"estatuir";-16,489;16,489
"eps";-17,807;17,807
"conceitual";-19,292;19,292
"colaborar";-16,489;16,489
"assessoramento";-8,942;8,942
"almejado";-3,007;3,007
"abate";-0,524;0,524
"william";-10,089;10,089
"transcender";-12,009;12,009
"subitem";12,711;-12,711
"selecionar";-17,51;17,51
"segredo";-15,898;15,898
"rev";-13,287;13,287
"retratar";-10,035;10,035
"raul";-10,886;10,886
"provento";-16,489;16,489
"primado";-14,161;14,161
"plantão";-12,009;12,009
"km2";-8,956;8,956
"jacques";7,168;-7,168
"info";-1,187;1,187
"inaplicável";3,58;-3,58
"imune";-18,995;18,995
"goiânia";0,261;-0,261
"first";-7,418;7,418
"energético";-4,24;4,24
"edifício";-7,418;7,418
"edificação";-11,547;11,547
"destruir";-17,51;17,51
"denominação";-17,51;17,51
"convívio";-18,995;18,995
"concretamente";-0,037;0,037
"colapso";-15,898;15,898
"coincidir";-0,015;0,015
"centralização";-13,869;13,869
"cardoso";-1,413;1,413
"calcular";-13,869;13,869
"braga";-2,67;2,67
"ber";87,655;-87,655
"autárquico";-18,104;18,104
"yanomami";-5,099;5,099
"vulnerar";-7,456;7,456
"uol";-1,78;1,78
"un";-2,077;2,077
"sinal";-15,012;15,012
"sars";-16,62;16,62
"repelir";-0,524;0,524
"regulatório";-16,194;16,194
"quórum";-15,012;15,012
"prevalecente";-0,18;0,18
"particularidade";-7,715;7,715
"nexo";-0,015;0,015
"luciano";-0,704;0,704
"lotação";-17,807;17,807
"logicamente";-7,715;7,715
"lançamento";-13,578;13,578
"infrator";-16,194;16,194
"implemento";-6,371;6,371
"heterogêneo";0,031;-0,031
"governar";-14,717;14,717
"finar";-1,049;1,049
"excetuar";-9,76;9,76
"escrita";-5,884;5,884
"elencadas";-4,721;4,721
"docs";3,877;-3,877
"diretivo";-12,706;12,706
"definidor";-13,869;13,869
"corporativo";-9,214;9,214
"consentâneo";-9,76;9,76
"confrontar";-0,015;0,015
"confiar";-16,194;16,194
"atento";-9,214;9,214
"assis";0,041;-0,041
"ção";1,907;-1,907
"vocação";-6,127;6,127
"uber";-12,464;12,464
"transtorno";-13,287;13,287
"suspensivo";20,071;-20,071
"progressista";9,503;-9,503
"permissivo";-6,127;6,127
"omisso";2,12;-2,12
"negligência";-15,898;15,898
"mente";-9,214;9,214
"medicina";-10,592;10,592
"manto";-10,592;10,592
"locomoção";-12,706;12,706
"liame";25,856;-25,856
"jardim";-9,529;9,529
"isoladamente";-15,898;15,898
"intitular";-12,997;12,997
"incapacidade";-18,104;18,104
"facie";-7,456;7,456
"enfaticamente";117,3;-117,3
"dogmático";-6,127;6,127
"dieter";-2,67;2,67
"coprocessamento";-14,422;14,422
"colação";2,12;-2,12
"caminhar";-11,158;11,158
"camargo";-0,488;0,488
"auferir";-4,721;4,721
"an";-5,044;5,044
"aliança";9,534;-9,534
"3o";-0,437;0,437
"xviii";-7,198;7,198
"tributação";-11,257;11,257
"remessa";-1,455;1,455
"queiroz";-0,293;0,293
"predominante";5,407;-5,407
"poluição";-18,104;18,104
"nascer";-12,997;12,997
"mndh";6,52;-6,52
"mensalmente";-11,158;11,158
"jesus";-0,264;0,264
"isa";-1,699;1,699
"inepto";135,143;-135,143
"ganho";-17,807;17,807
"fundar";-13,287;13,287
"fluvial";-16,917;16,917
"filiação";-15,603;15,603
"explicitamente";-9,214;9,214
"echeverria";23,596;-23,596
"dnv";-14,717;14,717
"detalhe";-15,012;15,012
"deslinde";-4,498;4,498
"correio";-15,308;15,308
"constrangimento";-15,603;15,603
"comparabilidade";-18,104;18,104
"caesb";-1,176;1,176
"atípico";-18,104;18,104
"acordado";-11,158;11,158
"violadora";14,232;-14,232
"urador";47,195;-47,195
"unânime";19,249;-19,249
"uniformidade";-10,875;10,875
"tc";2,839;-2,839
"secovid";-1,357;1,357
"revisar";-5,643;5,643
"relicitação";-7,862;7,862
"reivindicação";-14,717;14,717
"perseguição";-17,807;17,807
"partilha";-15,308;15,308
"manoel";-2,878;2,878
"limpeza";-17,807;17,807
"irresignação";3,718;-3,718
"iptu";-4,931;4,931
"inexecução";-5,432;5,432
"inequivocamente";-4,277;4,277
"incapaz";8,675;-8,675
"hugo";0,459;-0,459
"habitação";-5,404;5,404
"fidelidade";-12,997;12,997
"facção";-16,917;16,917
"espectro";-5,643;5,643
"equidade";-15,012;15,012
"emergente";36,545;-36,545
"desobediência";-7,198;7,198
"delgado";-9,468;9,468
"debruçar";-2,715;2,715
"consectário";-15,012;15,012
"comemorativo";-10,31;10,31
"carro";-14,542;14,542
"anape";37,287;-37,287
"agronegócio";0,062;-0,062
"adaptar";-7,198;7,198
"walber";6,158;-6,158
"venezuelano";4,427;-4,427
"tipicamente";-1,782;1,782
"terrazul";6,52;-6,52
"remissivo";-15,012;15,012
"regulatória";-17,51;17,51
"queixa";-16,917;16,917
"projeção";-14,422;14,422
"primeiramente";1,947;-1,947
"permissionário";-16,62;16,62
"ordenador";-1,945;1,945
"nocivo";-6,941;6,941
"minimamente";-8,671;8,671
"lins";1,939;-1,939
"lealdade";-15,012;15,012
"lapso";-15,012;15,012
"guimarães";-0,052;0,052
"guiar";-15,012;15,012
"galo";-8,076;8,076
"frase";-17,51;17,51
"florianópolis";0,092;-0,092
"escasso";-12,706;12,706
"eloy";10,112;-10,112
"dossiê";-15,729;15,729
"dominante";-6,941;6,941
"doloso";-10,31;10,31
"dificilmente";-17,51;17,51
"deveras";-0,024;0,024
"datar";-0,216;0,216
"conservar";-12,416;12,416
"conjur";-9,711;9,711
"complemento";9,254;-9,254
"coletado";-14,422;14,422
"aéreo";-5,928;5,928
"atualidade";-8,4;8,4
"aparecer";-12,652;12,652
"antecedência";-12,416;12,416
"altura";-5,167;5,167
"ajuda";-12,706;12,706
"variar";-16,026;16,026
"validar";-1,045;1,045
"tucionalidade";77,752;-77,752
"simultâneo";-8,4;8,4
"serra";-3,055;3,055
"saude";0,969;-0,969
"rotina";-16,917;16,917
"rotativo";-14,717;14,717
"principiar";15,082;-15,082
"primordial";-14,717;14,717
"prevfogo";-16,323;16,323
"preveem";-14,422;14,422
"possivelmente";-10,029;10,029
"originar";-0,504;0,504
"negocial";-17,214;17,214
"mestre";-5,679;5,679
"ligação";-11,547;11,547
"lastrear";-14,717;14,717
"juizado";3,346;-3,346
"impropriedade";7,45;-7,45
"g1";-1,699;1,699
"fundamentalidade";-0,158;0,158
"exigível";-5,167;5,167
"etário";-13,832;13,832
"encarregar";-14,717;14,717
"egresso";-8,605;8,605
"documentar";-17,214;17,214
"depor";-6,432;6,432
"custar";-12,126;12,126
"cov";-15,135;15,135
"comutação";-9,748;9,748
"cientista";-16,62;16,62
"camboriú";-0,264;0,264
"calda";0,041;-0,041
"arcar";-4,931;4,931
"anjo";0,02;-0,02
"alternância";-14,717;14,717
"versado";2,446;-2,446
"verificável";-14,422;14,422
"valorizar";-15,729;15,729
"trad";-10,886;10,886
"totalizar";-14,422;14,422
"tes";0,793;-0,793
"terceirizada";-16,917;16,917
"supracitado";0;0
"simetria";-2,528;2,528
"simbólico";-9,188;9,188
"satélite";-14,839;14,839
"sangue";-11,547;11,547
"rir";10,313;-10,313
"repristinação";-0,92;0,92
"rechaçar";0,091;-0,091
"precipuamente";3,532;-3,532
"neutralidade";-16,62;16,62
"modal";-15,135;15,135
"missa";-11,547;11,547
"mineiro";-0,309;0,309
"materialmente";-3,63;3,63
"magalhães";-2,932;2,932
"jul";-10,886;10,886
"jr";-6,125;6,125
"intermediário";-1,624;1,624
"institucionalizar";-16,62;16,62
"inovador";-14,422;14,422
"indagação";-7,595;7,595
"ilimitado";-14,422;14,422
"idoneidade";-1,624;1,624
"häberle";-9,125;9,125
"herman";-0,464;0,464
"hediondo";-6,432;6,432
"gp";11,184;-11,184
"extração";-15,729;15,729
"explicação";-6,432;6,432
"evangélico";27,212;-27,212
"estímulo";-16,917;16,917
"engenheiro";0,244;-0,244
"emprestar";0;0
"elevação";-14,422;14,422
"diplomático";-6,8;6,8
"diferenciar";-14,422;14,422
"desvinculação";-9,468;9,468
"destoar";-8,131;8,131
"desporto";-8,353;8,353
"cívico";-16,62;16,62
"célere";-1,624;1,624
"convalidação";5,67;-5,67
"contabilidade";-12,652;12,652
"compatibilização";-16,917;16,917
"colhido";0,091;-0,091
"cnc";11,903;-11,903
"celetista";-8,131;8,131
"cela";-15,729;15,729
"cadeira";-13,832;13,832
"benjamin";-1,045;1,045
"batalhão";-14,542;14,542
"aproximar";-14,422;14,422
"aditivo";-12,126;12,126
"2020decreto";48,9;-48,9
"unilateral";-7,862;7,862
"thomaz";8,549;-8,549
"temer";-13,537;13,537
"sumular";-0,259;0,259
"suficiência";-6,179;6,179
"substrato";-7,595;7,595
"socialmente";-9,468;9,468
"simultaneamente";-9,748;9,748
"sic";-7,064;7,064
"republicação";12,671;-12,671
"renúncia";-11,547;11,547
"regulamentador";1,775;-1,775
"reconstitucionalização";-0,193;0,193
"quo";-9,748;9,748
"preservado";-7,862;7,862
"portugal";-10,968;10,968
"parque";-15,432;15,432
"olho";-11,257;11,257
"odioso";-7,862;7,862
"mídia";-13,832;13,832
"munição";-11,836;11,836
"monteiro";0,004;-0,004
"ministerio";0,186;-0,186
"lixo";-13,832;13,832
"john";-6,537;6,537
"ição";12,648;-12,648
"inglês";-13,354;13,354
"imprevisão";-7,329;7,329
"hidrelétrico";-5,246;5,246
"grilagem";-13,537;13,537
"furtar";-5,568;5,568
"fundamentado";3,876;-3,876
"franquear";-14,127;14,127
"eua";-10,68;10,68
"estruturar";-13,832;13,832
"emgerpi";6,632;-6,632
"elias";9,316;-9,316
"dourado";0,041;-0,041
"dialógico";-13,832;13,832
"declinar";-0,688;0,688
"classificador";-16,62;16,62
"civilizatório";-14,127;14,127
"atrás";-9,188;9,188
"associativo";-6,179;6,179
"assimetria";-13,537;13,537
"aprimorar";-13,832;13,832
"aportar";-0,035;0,035
"adimplemento";-9,748;9,748
"4o";15,038;-15,038
"venia";-0,259;0,259
"vago";-7,525;7,525
"ultra";-0,915;0,915
"transmitir";-16,323;16,323
"símbolo";-15,432;15,432
"surto";-13,242;13,242
"sentimento";-16,323;16,323
"ressocialização";-15,432;15,432
"rescisão";-5,679;5,679
"reincidência";-15,432;15,432
"prospectivo";0,207;-0,207
"pronúncia";-4,468;4,468
"pormenorizado";-11,547;11,547
"pavie";3,335;-3,335
"parentesco";-8,353;8,353
"modernização";-16,323;16,323
"jaraguá";0,643;-0,643
"indisponibilidade";-5,432;5,432
"impressão";-5,928;5,928
"forno";-13,832;13,832
"fiscalizatória";-13,832;13,832
"envolvimento";-16,323;16,323
"doravante";-7,595;7,595
"convencionado";-16,026;16,026
"conciliar";-11,547;11,547
"concessivo";24,499;-24,499
"conade";-8,076;8,076
"compensatório";-11,257;11,257
"alongar";-0,259;0,259
"vinicius";2,501;-2,501
"velar";-15,729;15,729
"vacinal";-15,729;15,729
"tatiana";0,129;-0,129
"semestre";-12,947;12,947
"salutar";-13,537;13,537
"rule";-12,167;12,167
"retificação";0,884;-0,884
"repassado";-7,329;7,329
"reconsideração";148,787;-148,787
"quadra";-5,679;5,679
"punibilidade";-9,188;9,188
"provável";-0,136;0,136
"preocupante";-8,909;8,909
"policiamento";-16,026;16,026
"perpetuar";-13,537;13,537
"oferecimento";-8,909;8,909
"numerário";-9,188;9,188
"municipalidade";-3,011;3,011
"laicidade";-11,257;11,257
"justica";21,521;-21,521
"juridicidade";-11,257;11,257
"inquestionável";-7,329;7,329
"hermenêutico";3,346;-3,346
"farda";-16,026;16,026
"far";-12,947;12,947
"esclarecido";-0,392;0,392
"ement";165,017;-165,017
"emater";-0,582;0,582
"duplo";-9,816;9,816
"drástico";-15,135;15,135
"desvirtuamento";-4,014;4,014
"defeito";49,189;-49,189
"court";-0,671;0,671
"congelamento";-5,679;5,679
"cidh";-7,525;7,525
"bispo";9,246;-9,246
"autoincriminação";-9,816;9,816
"autogoverno";-11,257;11,257
"atingimento";-7,329;7,329
"aragão";-0,94;0,94
"aparato";-13,537;13,537
"anamatra";20,112;-20,112
"agricultor";-10,886;10,886
"viana";-2,373;2,373
"viagem";-4,463;4,463
"ucs";-13,651;13,651
"transcorrer";-2,811;2,811
"tecnicamente";-5,187;5,187
"rrf";-13,242;13,242
"rediscutir";83,111;-83,111
"rapidamente";-2,811;2,811
"quilombo";-10,005;10,005
"preferencial";-15,729;15,729
"ordinariamente";-8,909;8,909
"nefasto";-13,242;13,242
"marcio";6,158;-6,158
"mandatário";-13,242;13,242
"jan";-11,573;11,573
"irrelevante";-1,045;1,045
"internacionalmente";-15,729;15,729
"inclusivo";-15,135;15,135
"homogeneidade";5,054;-5,054
"habitar";-15,729;15,729
"gaspar";-3,264;3,264
"frontalmente";-8,909;8,909
"fensterseifer";-15,135;15,135
"federalista";-15,729;15,729
"europa";-13,948;13,948
"erradicar";-15,729;15,729
"durar";-13,242;13,242
"desincumbir";-1,821;1,821
"degradado";-12,652;12,652
"deflagração";-8,909;8,909
"cátedra";-13,242;13,242
"cota";-9,529;9,529
"convergência";-0,392;0,392
"bolsonaro";-7,249;7,249
"avançado";-10,68;10,68
"anajure";37,87;-37,87
"admitido";-8,353;8,353
"acidente";-15,432;15,432
"votorantim";0,159;-0,159
"voluntariamente";-15,135;15,135
"sucedido";-1,342;1,342
"subverter";-8,631;8,631
"states";-3,055;3,055
"sistematicamente";-15,432;15,432
"sensibilidade";-5,187;5,187
"republicar";10,273;-10,273
"reclusão";-14,542;14,542
"radical";-10,392;10,392
"prédio";-15,135;15,135
"protetivas";-15,432;15,432
"prescindir";-6,8;6,8
"precarização";-12,358;12,358
"noturno";0,072;-0,072
"minudente";-6,8;6,8
"metroviário";-5,934;5,934
"mario";-1,187;1,187
"liquidação";-12,652;12,652
"jobim";77,136;-77,136
"isabela";0,831;-0,831
"insalubre";-12,358;12,358
"incerto";-10,68;10,68
"implicação";-5,187;5,187
"ilustrativo";-2,423;2,423
"guarir";-5,187;5,187
"gravemente";-10,392;10,392
"gesto";-12,947;12,947
"feminista";-6,231;6,231
"excluído";-12,947;12,947
"especialidade";-15,432;15,432
"equívoco";-6,8;6,8
"enfraquecimento";-15,135;15,135
"educafro";2,501;-2,501
"discordar";5,975;-5,975
"desejado";-10,104;10,104
"deontológico";-15,432;15,432
"culpa";-14,245;14,245
"crueldade";-8,631;8,631
"confusão";-3,572;3,572
"condomínio";-10,089;10,089
"clínquer";-12,947;12,947
"classificar";-9,816;9,816
"circunscrever";0,197;-0,197
"cascavel";0,862;-0,862
"caderno";-13,948;13,948
"bélico";-12,063;12,063
"bndes";-8,353;8,353
"amanhã";-0,068;0,068
"adstrito";0,001;-0,001
"tutelado";-3,572;3,572
"terapia";-10,005;10,005
"temporariamente";-10,104;10,104
"seccional";-7,079;7,079
"santana";-0,94;0,94
"ruptura";-15,135;15,135
"ruir";-12,063;12,063
"rodada";-5,758;5,758
"responsabilizar";-10,104;10,104
"reino";-14,542;14,542
"reformulação";-6,537;6,537
"ptb";3,323;-3,323
"permear";-12,652;12,652
"ordenação";-12,652;12,652
"numérico";-12,358;12,358
"not";-1,185;1,185
"non";-12,167;12,167
"mte";-4,742;4,742
"mercê";6,481;-6,481
"lastro";-0,309;0,309
"irrigação";-8,1;8,1
"irrecorrível";0,604;-0,604
"institucionalização";-12,358;12,358
"ilustrado";-6,537;6,537
"heterônomo";-3,572;3,572
"harvard";-7,532;7,532
"glosa";-12,652;12,652
"garantidor";-8,076;8,076
"ferido";-10,592;10,592
"farmacêutico";-14,542;14,542
"externar";4,456;-4,456
"extensivo";-10,392;10,392
"esporte";-9,792;9,792
"difusão";-15,135;15,135
"desconsideração";-6,537;6,537
"deparar";-8,353;8,353
"ctn";-10,392;10,392
"cronológico";-12,652;12,652
"credibilidade";-14,839;14,839
"contingente";-14,542;14,542
"cometimento";-12,063;12,063
"coexistência";-0,05;0,05
"certame";-4,702;4,702
"carteira";-14,245;14,245
"aresto";4,456;-4,456
"arena";-10,392;10,392
"alternativamente";0,197;-0,197
"africano";-9,529;9,529
"ções";0,287;-0,287
"videoconferência";31,095;-31,095
"vera";-1,78;1,78
"resp";79,988;-79,988
"recém";-8,076;8,076
"proponente";-2,235;2,235
"prestigiado";-10,104;10,104
"praia";-11,18;11,18
"planilha";-14,839;14,839
"perpassar";-10,104;10,104
"perdido";-14,245;14,245
"patriota";-2,67;2,67
"parcelamento";-7,251;7,251
"oxford";-0,036;0,036
"out";-7,662;7,662
"originariamente";-0,235;0,235
"obediência";-6,276;6,276
"nicodemos";13,483;-13,483
"moldura";-2,235;2,235
"interinstitucional";-13,651;13,651
"incongruência";8,309;-8,309
"inadimplemento";-12,358;12,358
"imperador";12,017;-12,017
"iminência";-0,675;0,675
"general";-9,495;9,495
"frequente";-14,542;14,542
"etnia";-12,063;12,063
"entrevista";-11,769;11,769
"encampar";0,036;-0,036
"crônico";-14,245;14,245
"corregedoria";-1,342;1,342
"cooperativa";-10,104;10,104
"contaminado";-13,948;13,948
"conmebol";-1,873;1,873
"conflitar";0,072;-0,072
"confaz";-4,702;4,702
"competitivo";-2,602;2,602
"comandante";-11,87;11,87
"cdc";-4,993;4,993
"brigadistas";-13,057;13,057
"atlântico";-14,542;14,542
"antifascismo";-11,769;11,769
"antidemocrático";-14,839;14,839
"alusão";-1,342;1,342
"acontecimento";-6,016;6,016
"aceitação";-2,052;2,052
"aaas";-12,358;12,358
"uerj";-6,967;6,967
"transportar";-11,474;11,474
"tempestivo";8,938;-8,938
"supérstite";-6,016;6,016
"subordinado";-14,542;14,542
"singularidade";-9,816;9,816
"romper";-14,542;14,542
"rigorosamente";-7,8;7,8
"respaldar";-0,17;0,17
"polêmico";13,468;-13,468
"pfizer";-12,464;12,464
"peter";-8,539;8,539
"paridade";-9,816;9,816
"paraguai";-10,298;10,298
"máxime";-6,016;6,016
"motta";-0,293;0,293
"modificativo";16,08;-16,08
"maranhense";21,999;-21,999
"manso";4,154;-4,154
"majoração";-0,464;0,464
"magnético";-11,87;11,87
"lunardi";6,52;-6,52
"informática";-7,249;7,249
"inevitável";-14,542;14,542
"indiciar";-11,769;11,769
"impetração";11,853;-11,853
"identificável";-7,8;7,8
"homofobia";-8,539;8,539
"gramática";-13,354;13,354
"grade";-9,242;9,242
"fotografia";-14,542;14,542
"falecer";-6,967;6,967
"eletromagnético";-11,769;11,769
"educacao";-0,89;0,89
"desmembramento";-4,463;4,463
"contingenciamentos";-14,245;14,245
"consensual";-9,816;9,816
"cni";15,01;-15,01
"chancelar";-7,525;7,525
"burocrático";-14,542;14,542
"ajudar";-4,993;4,993
"adulto";-14,245;14,245
"administrativamente";-6,016;6,016
"zanella";-10,089;10,089
"xxiii";-2,932;2,932
"xvii";-14,245;14,245
"victor";-0,07;0,07
"valinhos";28,475;-28,475
"sustentáculo";-5,758;5,758
"superioridade";5,817;-5,817
"soja";-10,298;10,298
"significação";-5,501;5,501
"senso";-13,948;13,948
"seabra";-6,528;6,528
"reprimir";-9,529;9,529
"psíquico";-11,769;11,769
"preparo";-9,529;9,529
"preceituar";-0,464;0,464
"periodicidade";-13,948;13,948
"online";1,914;-1,914
"nogueira";1,789;-1,789
"nepotismo";-5,099;5,099
"multiplicação";-7,525;7,525
"milícia";-10,886;10,886
"mediato";5,817;-5,817
"majoritariamente";6,887;-6,887
"licenciar";-9,242;9,242
"labor";-0,072;0,072
"junta";-2,12;2,12
"ipep";-6,435;6,435
"internação";-13,057;13,057
"insuperável";0,122;-0,122
"infância";-11,18;11,18
"incompleto";-11,769;11,769
"imputação";-7,525;7,525
"exaustão";-11,769;11,769
"esgotado";4,277;-4,277
"escrito";-9,242;9,242
"esbarrar";34,205;-34,205
"equacionar";-9,529;9,529
"dor";-3,624;3,624
"desintrusão";-5,629;5,629
"demográfico";-11,18;11,18
"culpabilidade";-8,956;8,956
"corretamente";-5,501;5,501
"coordenador";-4,247;4,247
"condicionamento";-14,245;14,245
"comparativo";-3,533;3,533
"cobrir";-13,948;13,948
"cndh";-4,477;4,477
"assassinato";-11,18;11,18
"armazenar";-13,948;13,948
"antagônico";-5,758;5,758
"ameaçado";-11,474;11,474
"almejar";-4,227;4,227
"aldeia";-4,003;4,003
"acrescido";20,015;-20,015
"vocábulo";-13,948;13,948
"vocabulário";-13,948;13,948
"vaz";-0,131;0,131
"subir";-10,886;10,886
"sequestrar";-11,474;11,474
"seletividade";-13,948;13,948
"sediar";-6,435;6,435
"safra";-6,967;6,967
"robert";-9,418;9,418
"rgps";-9,242;9,242
"retenção";-9,242;9,242
"rendimento";-12,167;12,167
"protetivo";-5,501;5,501
"perplexidade";-5,246;5,246
"perguntar";-7,251;7,251
"obstrução";-8,956;8,956
"mútuo";-11,474;11,474
"mobilizar";-11,474;11,474
"minuto";-10,005;10,005
"minucioso";-0,371;0,371
"liquidar";-7,532;7,532
"leiloeiro";-6,978;6,978
"judicialização";-13,651;13,651
"intrínseco";-3,993;3,993
"indiscriminadamente";-13,948;13,948
"indefiro";13,524;-13,524
"incursão";-11,474;11,474
"incitação";-13,948;13,948
"inadimplência";-13,948;13,948
"habitacional";-13,354;13,354
"grosseiro";35,878;-35,878
"gerenciamento";-13,948;13,948
"flexível";-13,354;13,354
"extraio";0,187;-0,187
"endereço";-13,057;13,057
"disputar";-6,978;6,978
"deus";-10,592;10,592
"defendido";-1,699;1,699
"círculo";-13,651;13,651
"correspondência";-11,474;11,474
"confenen";12,794;-12,794
"compreensivo";8,203;-8,203
"circular";-5,501;5,501
"centralizar";-9,242;9,242
"caxias";3,747;-3,747
"caverna";-12,464;12,464
"assertiva";-3,761;3,761
"anômalo";-0,371;0,371
"anuidade";-7,251;7,251
"amorim";-2,784;2,784
"amoldar";0,007;-0,007
"afinidade";-3,993;3,993
"abandono";-11,474;11,474
"vazio";-11,18;11,18
"tipificação";-11,18;11,18
"temperatura";-13,354;13,354
"ski";126,264;-126,264
"simplificar";-10,592;10,592
"sancionatório";-5,246;5,246
"retórica";-8,956;8,956
"reputação";-13,354;13,354
"reiteração";0,481;-0,481
"refinanciamento";-13,057;13,057
"reação";-10,298;10,298
"quarentena";-13,354;13,354
"portar";-13,651;13,651
"partilhar";-8,956;8,956
"oportunamente";-0,785;0,785
"octavio";138,106;-138,106
"notável";-6,978;6,978
"norteador";-11,18;11,18
"nacionalmente";-5,246;5,246
"mobilização";-8,832;8,832
"merecedor";3,695;-3,695
"mecânico";-7,815;7,815
"linguístico";-13,354;13,354
"inédito";-2,523;2,523
"integrativo";2,284;-2,284
"insculpir";-6,978;6,978
"infectado";-12,761;12,761
"imunizante";-8,956;8,956
"imputado";-13,651;13,651
"forçoso";-0,785;0,785
"estoque";-12,464;12,464
"empregatício";-13,651;13,651
"economicamente";-13,651;13,651
"dru";-6,435;6,435
"discordância";-3,761;3,761
"diniz";-2,077;2,077
"diego";-1,439;1,439
"devastação";-13,057;13,057
"desvincular";-13,651;13,651
"custa";-2,325;2,325
"cumulativamente";-0,034;0,034
"condizente";-11,18;11,18
"computador";-6,435;6,435
"chile";-11,276;11,276
"cerrado";-12,464;12,464
"centavo";-13,651;13,651
"caema";-0,011;0,011
"bverfge";-10,683;10,683
"burla";-1,531;1,531
"blumenau";1,939;-1,939
"atrelar";-8,67;8,67
"atmosfera";-13,354;13,354
"viés";-8,67;8,67
"sonoro";-13,057;13,057
"silvia";-2,967;2,967
"secretária";2,044;-2,044
"preâmbulo";-13,354;13,354
"previsibilidade";-10,886;10,886
"preocupar";-6,435;6,435
"perímetro";-12,761;12,761
"marginalização";-13,354;13,354
"lxiii";-6,706;6,706
"lep";-4,837;4,837
"lavrado";-2,325;2,325
"isabel";-1,483;1,483
"irmão";-8,832;8,832
"ipatinga";7,168;-7,168
"intentar";-1,368;1,368
"ininterrupto";-13,057;13,057
"impeditivo";-2,131;2,131
"hegemônico";-10,886;10,886
"gradual";-10,886;10,886
"gandra";-1,465;1,465
"fortemente";-13,354;13,354
"fnde";-13,057;13,057
"flexibilizar";-6,706;6,706
"exemplificar";-0,664;0,664
"exaurir";-6,706;6,706
"descrição";-6,435;6,435
"couto";9,316;-9,316
"condicionado";-8,67;8,67
"competitividade";-13,354;13,354
"colaborativo";-4,494;4,494
"cnpe";-6,967;6,967
"captura";-8,67;8,67
"caos";-10,886;10,886
"bolsa";-13,354;13,354
"apropriação";-13,057;13,057
"acervo";-0,212;0,212
"wallace";-1,78;1,78
"vivência";-12,761;12,761
"unilateralmente";-8,385;8,385
"terminal";-12,761;12,761
"teleológico";-10,592;10,592
"superfície";-12,464;12,464
"sofrimento";-8,385;8,385
"sesai";-11,573;11,573
"sdr";-12,761;12,761
"romano";-2,602;2,602
"revelia";-10,592;10,592
"retribuição";-5,363;5,363
"reputado";-1,212;1,212
"prestígio";-13,057;13,057
"posteriori";-10,592;10,592
"plausível";-3,308;3,308
"oculto";-0,656;0,656
"ocultação";-8,385;8,385
"obstaculizar";-2,131;2,131
"objetividade";-3,308;3,308
"nomeadamente";-2,131;2,131
"mineral";-13,057;13,057
"lavrar";-0,147;0,147
"ives";-1,288;1,288
"ipea";-9,199;9,199
"inexigibilidade";0,616;-0,616
"impreciso";41,435;-41,435
"honorabilidade";-8,012;8,012
"fisco";-3,308;3,308
"facilmente";-6,435;6,435
"exonerar";-10,298;10,298
"escritório";-10,98;10,98
"enfraquecer";-13,057;13,057
"desfrutar";-12,167;12,167
"descontinuidade";-13,057;13,057
